집계일자,콘존ID,차로유형구분코드,교통량
20120601,0150CZS160,1,13938
20120601,0150CZS170,1,14614
20120601,0150CZS180,1,13683
20120601,0150CZS190,1,16064
20120601,0150CZS200,1,16750
20120601,0150CZS210,1,17388
20120601,0150CZS220,1,18935
20120601,0150CZS230,1,19040
20120601,0150CZS240,1,29556
20120601,0150CZS250,1,32593
20120601,0150CZS260,1,35183
20120601,0150CZS270,1,36980
20120601,0150CZS280,1,51448
20120601,0150CZS290,1,57549
20120601,0150CZS300,1,64751
20120601,0150CZS310,1,75809
20120601,0150CZS315,1,54185
20120601,0150CZS320,1,54885
20120601,0150CZS330,1,-1
20120601,0150CZS340,1,-1
20120601,0150CZS350,1,-1
20120601,0150CZS360,1,61393
20120601,0150CZS370,1,70495
20120601,0150CZS380,1,59992
20120601,0160CZE010,1,25019
20120601,0160CZE020,1,27095
20120601,0160CZS010,1,27554
20120601,0160CZS020,1,29474
20120601,0170CZE010,1,7399
20120601,0170CZE020,1,13730
20120601,0170CZE030,1,15848
20120601,0170CZE040,1,15664
20120601,0170CZE050,1,22644
20120601,0170CZS010,1,8728
20120601,0170CZS020,1,16810
20120601,0170CZS030,1,22546
20120601,0170CZS040,1,15584
20120601,0170CZS050,1,20207
20120601,0200CZE060,1,16442
20120601,0200CZE070,1,13496
20120601,0200CZE080,1,11026
20120601,0200CZE090,1,12512
20120601,0200CZS060,1,17684
20120601,0200CZS070,1,14997
20120601,0200CZS080,1,11783
20120601,0200CZS090,1,12979
20120601,0201CZE010,1,14624
20120601,0201CZE020,1,8415
20120601,0201CZE025,1,4817
20120601,0201CZE030,1,5952
20120601,0201CZE040,1,5652
20120601,0201CZE050,1,5633
20120601,0201CZS010,1,13092
20120601,0201CZS020,1,9726
20120601,0201CZS025,1,4200
20120601,0201CZS030,1,5658
20120601,0201CZS040,1,5544
20120601,0201CZS050,1,5505
20120601,0251CZE010,1,16612
20120601,0251CZE020,1,16104
20120601,0251CZE030,1,14137
20120601,0251CZE040,1,14794
20120601,0251CZE050,1,16577
20120601,0251CZE060,1,18709
20120601,0251CZE070,1,15780
20120601,0251CZE080,1,16491
20120601,0251CZE090,1,16045
20120601,0251CZE100,1,-1
20120601,0251CZE110,1,8004
20120601,0251CZE120,1,44085
20120601,0251CZE130,1,38510
20120601,0251CZE140,1,36806
20120601,0251CZE150,1,28917
20120601,0251CZE160,1,23325
20120601,0251CZE170,1,19987
20120601,0251CZE180,1,18980
20120601,0251CZE190,1,19965
20120601,0251CZE200,1,15988
20120601,0251CZE210,1,14568
20120601,0251CZE220,1,16878
20120601,0251CZE230,1,15840
20120601,0251CZE240,1,17278
20120601,0251CZE250,1,15413
20120601,0251CZE260,1,14093
20120601,0251CZE270,1,12663
20120601,0251CZE280,1,16363
20120601,0251CZE290,1,20275
20120601,0251CZE300,1,-1
20120601,0251CZE310,1,30035
20120601,0251CZS010,1,14901
20120601,0251CZS020,1,13884
20120601,0251CZS030,1,12812
20120601,0251CZS040,1,13700
20120601,0251CZS050,1,15333
20120601,0251CZS060,1,17996
20120601,0251CZS070,1,14816
20120601,0251CZS080,1,15083
20120601,0251CZS090,1,19952
20120601,0251CZS100,1,-1
20120601,0251CZS110,1,12801
20120601,0251CZS120,1,35047
20120601,0251CZS130,1,45176
20120601,0251CZS140,1,38604
20120601,0251CZS150,1,28193
20120601,0251CZS160,1,23521
20120601,0251CZS170,1,18595
20120601,0251CZS180,1,19238
20120601,0251CZS190,1,21174
20120601,0251CZS200,1,16663
20120601,0251CZS210,1,16991
20120601,0251CZS220,1,18609
20120601,0251CZS230,1,14732
20120601,0251CZS240,1,17327
20120601,0251CZS250,1,18623
20120601,0251CZS260,1,14217
20120601,0251CZS270,1,11618
20120601,0251CZS280,1,15126
20120601,0251CZS290,1,22660
20120601,0251CZS300,1,-1
20120601,0251CZS310,1,34099
20120601,0270CZE020,1,5428
20120601,0270CZE030,1,8974
20120601,0270CZE040,1,8662
20120601,0270CZE050,1,8655
20120601,0270CZE060,1,8875
20120601,0270CZE070,1,8893
20120601,0270CZE080,1,8424
20120601,0270CZE090,1,10695
20120601,0270CZE100,1,10728
20120601,0270CZE110,1,9078
20120601,0270CZE120,1,8635
20120601,0270CZS020,1,5764
20120601,0270CZS030,1,8827
20120601,0270CZS040,1,8885
20120601,0270CZS050,1,9172
20120601,0270CZS060,1,9584
20120601,0270CZS070,1,9510
20120601,0270CZS080,1,8998
20120601,0270CZS090,1,11533
20120601,0270CZS100,1,11474
20120601,0270CZS110,1,9605
20120601,0270CZS120,1,9284
20120601,0300CZE130,1,18030
20120601,0300CZE140,1,18011
20120601,0300CZE150,1,17978
20120601,0300CZE160,1,15809
20120601,0300CZE170,1,15269
20120601,0300CZE180,1,15474
20120601,0300CZE190,1,14428
20120601,0300CZS130,1,14171
20120601,0300CZS140,1,14498
20120601,0300CZS150,1,14463
20120601,0300CZS160,1,12556
20120601,0300CZS170,1,12370
20120601,0300CZS180,1,11086
20120601,0300CZS190,1,11093
20120601,0301CZE010,1,8694
20120601,0301CZE020,1,9981
20120601,0301CZE030,1,9447
20120601,0301CZE040,1,11301
20120601,0301CZE050,1,12172
20120601,0301CZE060,1,13779
20120601,0301CZE070,1,13937
20120601,0301CZE080,1,19075
20120601,0301CZE090,1,14610
20120601,0301CZE100,1,15875
20120601,0301CZE110,1,15371
20120601,0301CZE120,1,15526
20120601,0301CZS010,1,8113
20120601,0301CZS020,1,8009
20120601,0301CZS030,1,7730
20120601,0301CZS040,1,9366
20120601,0301CZS050,1,10085
20120601,0301CZS060,1,11812
20120601,0301CZS070,1,12482
20120601,0301CZS080,1,11101
20120601,0301CZS090,1,14006
20120601,0301CZS100,1,14660
20120601,0301CZS110,1,13748
20120601,0301CZS120,1,13797
20120601,0351CZE010,1,9678
20120601,0351CZE020,1,12363
20120601,0351CZE030,1,11876
20120601,0351CZE040,1,8113
20120601,0351CZE050,1,7759
20120601,0351CZE060,1,13514
20120601,0351CZE070,1,11825
20120601,0351CZE080,1,10773
20120601,0351CZE090,1,10938
20120601,0351CZE100,1,9878
20120601,0351CZE110,1,9559
20120601,0351CZE120,1,9993
20120601,0351CZE130,1,8119
20120601,0351CZE140,1,6825
20120601,0351CZE150,1,6913
20120601,0351CZE160,1,7992
20120601,0351CZE170,1,9724
20120601,0351CZE180,1,12619
20120601,0351CZE190,1,14837
20120601,0351CZE200,1,18256
20120601,0351CZE210,1,21429
20120601,0351CZS010,1,9000
20120601,0351CZS020,1,10828
20120601,0351CZS030,1,10223
20120601,0351CZS040,1,7649
20120601,0351CZS050,1,7483
20120601,0351CZS060,1,12868
20120601,0351CZS070,1,11705
20120601,0351CZS080,1,10934
20120601,0351CZS090,1,11051
20120601,0351CZS100,1,10057
20120601,0351CZS110,1,10590
20120601,0351CZS120,1,10644
20120601,0351CZS130,1,10486
20120601,0351CZS140,1,8005
20120601,0351CZS150,1,7348
20120601,0351CZS160,1,9371
20120601,0351CZS170,1,11678
20120601,0351CZS180,1,14790
20120601,0351CZS190,1,17088
20120601,0351CZS200,1,20717
20120601,0351CZS210,1,23127
20120601,0352CZE280,1,28934
20120601,0352CZE290,1,32872
20120601,0352CZE300,1,30816
20120601,0352CZE310,1,29695
20120601,0352CZE320,1,30189
20120601,0352CZE330,1,29498
20120601,0352CZE340,1,27723
20120601,0352CZE350,1,32580
20120601,0352CZE360,1,53726
20120601,0352CZE370,1,23539
20120601,0352CZE380,1,23058
20120601,0352CZE390,1,26848
20120601,0352CZE400,1,38499
20120601,0352CZE410,1,73674
20120601,0352CZE420,1,68435
20120601,0352CZE430,1,72032
